nbhd_code,NO2,PM25,PUBTRANS,TREECAP,TREEPROP,TREECAPD,UHI,UHINIGHT,POP,INCOME_STD,city,ALBEDO,NDBI,NDVI,area,ELEVATION,continent,DENSITY
amsterdam_093,6.3,12.6,213.69,3420.27,26.46,0,1.96,0.32,666,22201.62,amsterdam,0.132543812,-0.167154154,0.379484045,8609735,0.148209725,europe,0.07735429719962345
amsterdam_094,7.09,11.57,139.27,73.15,34.6,0,1.98,0.54,24397,19596.96,amsterdam,0.12353754,-0.163900775,0.326312693,5158024,3.259648256,europe,4.729912074856572
amsterdam_098,5.84,13.28,503.02,148.99,54.51,0,0.54,0.23,11477,25798.53,amsterdam,0.135907378,-0.230979701,0.487316497,3136954,1.173014919,europe,3.6586446597559292
amsterdam_018,7.14,9.2,163.91,20.42,29.14,0,2.93,1.16,6391,30139.63,amsterdam,0.088984237,-0.094282295,0.208715173,447787,5.616020533,europe,14.272410766726145
amsterdam_021,7.14,10.77,133.67,26.51,41.03,0,2.58,1.26,7807,39566.02,amsterdam,0.09813376,-0.092414879,0.230737185,504559,6.533044162,europe,15.47291793427528
amsterdam_025,7.14,10.45,121.3,68.53,59.63,0,NA,NA,5765,29519.47,amsterdam,0.097107143,-0.149043193,0.28498041,662606,5.267142751,europe,8.700494713298701
amsterdam_029,7.14,10.4,131.04,33.99,52.58,0,3.08,1.36,10619,27410.94,amsterdam,0.096615385,-0.075707083,0.234475492,686354,5.123770939,europe,15.47160794575394
amsterdam_008,7.13,9.12,96.1,54.95,38.76,0,NA,NA,7256,44527.27,amsterdam,0.087874288,-0.133371742,0.184962551,1028758,7.217708112,europe,7.053165078667675
amsterdam_010,7.09,8.95,131.2,46.91,30.07,0,0.94,0.46,12988,32992.35,amsterdam,0.091669432,-0.175376578,0.161155785,2026052,4.990916755,europe,6.4104968678000365
amsterdam_078,7.13,9.89,184.51,108.03,49.99,0,1.41,1.5,9731,20589.21,amsterdam,0.117522497,-0.131474118,0.345916028,2102701,4.422968666,europe,4.627857217930652
amsterdam_080,7.09,11.42,121.24,99.43,45.71,0,NA,NA,3539,25054.34,amsterdam,0.119801638,-0.146723197,0.336890351,769933,2.344477297,europe,4.596503851633844
amsterdam_081,NA,NA,137.73,86.03,58.52,0,1.16,1.24,1925,23690,amsterdam,0.120697836,-0.116801319,0.294729425,282966,2.560820597,europe,6.802937455383333
amsterdam_085,7.31,12.46,121.7,342.84,43.04,0,0.99,1.22,3074,31503.97,amsterdam,0.141842457,-0.234427902,0.400463783,2448864,1.020401807,europe,1.2552759156898872
amsterdam_092,7.27,11.65,202.33,308.22,55.9,0,0.71,0.92,2555,31753.37,amsterdam,0.136714892,-0.184494579,0.334611954,1408666,1.583809935,europe,1.8137727466979399
amsterdam_001,7.14,7.8,170.28,15.26,9.89,0,1.74,0.72,4246,32744.29,amsterdam,0.080186588,-0.1260771,0.144869823,655473,10.58766684,europe,6.477764911750752
amsterdam_095,7.09,12.73,322.44,111.6,47.76,0,1.24,0.76,28491,22201.62,amsterdam,0.128177051,-0.218965513,0.389432253,6658054,1.97947699,europe,4.27917827040754
amsterdam_099,7.04,13.88,151.37,908.26,46.86,0,0.55,0.66,1525,30139.63,amsterdam,0.138092638,-0.273439931,0.509420849,2955613,-0.096076488,europe,0.5159674152197868
amsterdam_006,7.14,8.62,133.15,23.89,20.28,0,1.89,0.71,9304,39814.08,amsterdam,0.087443241,-0.068739848,0.174866996,1096261,7.736023326,europe,8.487030004716031
amsterdam_038,6.85,12.38,128.49,74.61,44.2,0,1.96,0.93,16116,24434.18,amsterdam,0.115374604,-0.144719701,0.342892132,2720358,3.284955947,europe,5.924220268067659
amsterdam_040,5.67,12.1,185.1,70.54,43.15,0,1.95,0.64,5997,22201.62,amsterdam,0.11974291,-0.131651635,0.316602827,980227,0.801818897,europe,6.117970633332892
amsterdam_011,6.13,11.56,816.5,16865.62,9.73,0,1.66,0.33,192,20589.21,amsterdam,0.130718294,-0.078404607,0.24458357,33295050,2.531367606,europe,0.005766622966476998
amsterdam_015,7.14,9.55,166.93,82.22,21.53,0,2.75,0.86,2452,32124.13,amsterdam,0.102675691,-0.12445902,0.185453434,936481,4.232741573,europe,2.6183125979064177
amsterdam_044,7.14,12.18,128.79,149.9,53.36,0,2.05,1.1,8706,32372.19,amsterdam,0.105365577,-0.149886947,0.364621789,2445498,4.66667773,europe,3.560011089765765
amsterdam_047,7.14,11.74,125.42,405.96,32.11,0,2.2,1.28,2800,31753.37,amsterdam,0.106985814,-0.156449627,0.284342962,3540384,6.320667162,europe,0.7908746621835371
amsterdam_033,7.14,11.67,190.96,114.96,65.16,0,NA,NA,9410,19845.02,amsterdam,0.115027148,-0.159202542,0.358255769,1660279,2.345205351,europe,5.667722111765553
amsterdam_035,6.61,12.88,142.55,60.83,41.41,0,2.16,0.75,15727,19845.02,amsterdam,0.125194272,-0.139210059,0.339534882,2310066,2.614896836,europe,6.808030593065307
amsterdam_071,7.08,11.84,256.63,0.06,0.04,14.94,-1.09,0.19,14531,33612.51,amsterdam,0.112568121,-0.10107042,0.147426091,2051046,0.00700935,europe,7.084677769294302
amsterdam_076,7.09,10.12,219.92,411.32,71.79,0,2.13,0.84,3234,25302.4,amsterdam,0.116709514,-0.18216356,0.411611906,1853021,1.624035854,europe,1.7452581487203869
amsterdam_066,7.09,9.67,187.63,33.18,50.45,0,NA,NA,9413,24062.09,amsterdam,0.101126709,-0.092378776,0.279839937,618995,5.769324354,europe,15.206907971792988
amsterdam_068,7.09,10.55,274.62,103.56,66.18,0,0.4,0.33,10264,23193.87,amsterdam,0.105426513,-0.221035784,0.319056809,1606064,4.758386594,europe,6.390778947787884
amsterdam_049,7.12,10.08,152,35.25,50.33,0,2.9,1.02,12306,34852.82,amsterdam,0.093453629,-0.132697272,0.206332044,861830,7.081262653,europe,14.278918116101783
amsterdam_059,7.1,10.51,205.79,128.19,73.13,0,2.46,1.03,9183,32372.19,amsterdam,0.104108406,-0.186610908,0.351470461,1609702,5.352800893,europe,5.704782624361528
